round,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,accuracy,loss,update_norm,client_accuracies,keep_rate
38,0.9911,0.026795190761931664,0.0,0.0,0.9911,0.026795190761931664,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.994, 0.998, 1.0, 0.976, 0.996, 0.992, 0.98, 0.988, 0.984, 0.988, 0.992, 0.978, 1.0, 0.986, 0.998, 0.99, 0.994, 0.99, 0.998, 1.0]",1.0
39,0.9913000000000001,0.026831547497336496,0.0,0.0,0.9913000000000001,0.026831547497336496,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.994, 0.998, 0.974, 0.99, 0.994, 0.986, 0.984, 0.986, 0.996, 0.994, 1.0, 0.998, 1.0, 0.988, 0.98, 0.996, 0.99, 0.98, 0.998]",1.0
40,0.9915,0.02672320755170716,0.0,0.0,0.9915,0.02672320755170716,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.99, 0.994, 1.0, 1.0, 1.0, 0.976, 0.996, 0.978, 0.994, 0.988, 0.998, 0.994, 0.986, 0.988, 0.986, 0.988, 0.98, 0.996, 0.998]",1.0
41,0.9916,0.026964130154607878,0.0,0.0,0.9916,0.026964130154607878,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.994, 1.0, 1.0, 0.976, 1.0, 0.988, 0.994, 0.988, 0.998, 0.98, 0.99, 0.996, 0.99, 0.998, 0.988, 0.994, 0.994, 0.986, 0.98, 0.998]",1.0
42,0.9916,0.0268109282353473,0.0,0.0,0.9916,0.0268109282353473,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.994, 0.98, 0.986, 1.0, 0.996, 0.998, 0.988, 0.988, 0.978, 0.994, 0.998, 0.99, 0.976, 0.992, 1.0, 0.994, 0.988, 0.998, 1.0, 0.994]",1.0
43,0.9917999999999999,0.026915574432856103,0.0,0.0,0.9917999999999999,0.026915574432856103,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.998, 0.978, 0.994, 1.0, 0.996, 0.998, 0.986, 0.994, 1.0, 0.99, 0.98, 0.994, 0.992, 0.994, 0.998, 0.978, 0.988, 0.99, 0.988]",1.0
44,0.9918000000000001,0.02697602524930609,0.0,0.0,0.9918000000000001,0.02697602524930609,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.99, 0.988, 0.98, 0.998, 0.998, 0.994, 1.0, 0.978, 0.998, 1.0, 0.992, 0.994, 0.994, 1.0, 0.996, 0.99, 0.988, 0.994, 0.986, 0.978]",1.0
45,0.9917999999999999,0.027109214291332506,0.0,0.0,0.9917999999999999,0.027109214291332506,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.994, 0.998, 0.998, 0.978, 0.98, 0.994, 1.0, 0.988, 0.992, 1.0, 0.99, 0.994, 1.0, 0.994, 0.996, 0.978, 0.988, 0.99, 0.998, 0.986]",1.0
46,0.9917000000000004,0.02725989474935684,0.0,0.0,0.9917000000000004,0.02725989474935684,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.992, 1.0, 0.99, 0.994, 0.988, 0.98, 0.978, 0.994, 0.99, 0.996, 0.994, 0.998, 0.994, 0.988, 1.0, 1.0, 0.978, 0.998, 0.984, 0.998]",1.0
47,0.9917999999999999,0.02725678671073526,0.0,0.0,0.9917999999999999,0.02725678671073526,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.986, 0.988, 0.998, 0.992, 0.994, 0.996, 1.0, 0.978, 0.992, 0.998, 0.988, 0.98, 1.0, 0.98, 0.992, 0.994, 1.0, 0.99, 0.996, 0.994]",1.0
48,0.9917999999999999,0.027361932664894128,0.0,0.0,0.9917999999999999,0.027361932664894128,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.998, 0.992, 0.978, 1.0, 0.996, 0.998, 0.988, 0.988, 0.98, 1.0, 0.99, 0.992, 0.994, 0.996, 0.978, 0.992, 0.994, 0.998, 0.984]",1.0
49,0.9921,0.027223103694209928,0.0,0.0,0.9921,0.027223103694209928,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.978, 0.98, 0.986, 0.994, 0.992, 0.996, 0.992, 1.0, 1.0, 1.0, 0.996, 0.994, 0.99, 0.98, 0.996, 0.994, 0.988, 0.988, 0.998]",1.0
50,0.9918999999999999,0.02708218343789017,0.0,0.0,0.9918999999999999,0.02708218343789017,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.99, 0.998, 0.998, 1.0, 0.992, 0.978, 0.988, 0.986, 0.994, 0.998, 0.994, 0.996, 0.994, 1.0, 0.996, 0.98, 1.0, 0.98, 0.988, 0.988]",1.0
