round,loss
1,0.916
2,0.9555
3,0.9661
4,0.9728
5,0.9772
6,0.9799
7,0.9815
8,0.9832
9,0.9849
10,0.9852
11,0.9855
12,0.9862
13,0.9869
14,0.9872
15,0.9873
16,0.9881
17,0.9881
18,0.9886
19,0.9891
20,0.9897
21,0.9903
22,0.9903
23,0.9904
24,0.9904
25,0.9904
26,0.9909
27,0.9912
28,0.9913
29,0.9914
30,0.9915
31,0.9916
32,0.9918
33,0.992
34,0.9923
35,0.9925
36,0.9925
37,0.9923
38,0.9924
39,0.9924
40,0.9926
41,0.9925
42,0.9926
43,0.9927
44,0.9927
45,0.9928
46,0.9929
47,0.9928
48,0.9928
49,0.9929
50,0.9928
