round,accuracy,clean_accuracy,malicious_accuracy
1,0.2533,0.253625,0.252
2,0.3757,0.3785,0.3645
3,0.4434,0.44625,0.432
4,0.4544,0.457375,0.4425
5,0.4264,0.429875,0.4125
6,0.3755,0.381,0.3535
7,0.3064,0.31125,0.287
8,0.2047,0.20975,0.1845
9,0.1305,0.131375,0.127
10,0.114,0.114875,0.1105
11,0.1079,0.10725,0.1105
12,0.1011,0.101375,0.1
13,0.1012,0.102875,0.0945
14,0.1003,0.10175,0.0945
15,0.1012,0.102625,0.0955
16,0.1,0.0975,0.11
17,0.1,0.0975,0.11
18,0.1,0.0975,0.11
19,0.1,0.0975,0.11
20,0.1,0.0975,0.11
