round,accuracy,clean_accuracy,malicious_accuracy
1,0.3037,0.30425,0.3015
2,0.3782,0.3815,0.365
3,0.4268,0.430625,0.4115
4,0.4746,0.479625,0.4545
5,0.5,0.504625,0.4815
6,0.5249,0.52775,0.5135
7,0.5449,0.54725,0.5355
8,0.5637,0.566,0.5545
9,0.5785,0.5805,0.5705
10,0.5953,0.597875,0.585
11,0.6083,0.61225,0.5925
12,0.6272,0.630375,0.6145
13,0.638,0.64075,0.627
14,0.6506,0.65375,0.638
15,0.6596,0.663375,0.6445
16,0.6701,0.67375,0.6555
17,0.6783,0.681,0.6675
18,0.6856,0.6885,0.674
19,0.6936,0.6955,0.686
20,0.701,0.702875,0.6935
21,0.7077,0.70925,0.7015
22,0.7131,0.71475,0.7065
23,0.7171,0.71875,0.7105
24,0.7214,0.721875,0.7195
25,0.7261,0.726,0.7265
26,0.728,0.72825,0.727
27,0.7329,0.733375,0.731
28,0.7341,0.734,0.7345
29,0.7365,0.73625,0.7375
30,0.738,0.737125,0.7415
31,0.7411,0.739875,0.746
32,0.7431,0.742125,0.747
33,0.7438,0.743625,0.7445
34,0.7455,0.745,0.7475
35,0.7462,0.7455,0.749
36,0.7491,0.749875,0.746
37,0.751,0.751,0.751
38,0.7519,0.752,0.7515
39,0.7514,0.751,0.753
40,0.751,0.750375,0.7535
41,0.7492,0.749625,0.7475
42,0.7512,0.751125,0.7515
43,0.751,0.750375,0.7535
44,0.7535,0.75375,0.7525
45,0.7521,0.752,0.7525
46,0.7514,0.750875,0.7535
47,0.7506,0.75,0.753
48,0.7499,0.749625,0.751
49,0.7483,0.74725,0.7525
50,0.7487,0.748,0.7515
