round,accuracy,clean_accuracy,malicious_accuracy
1,0.3037,0.3037,0.0
2,0.3792,0.3792,0.0
3,0.4277,0.4277,0.0
4,0.4744,0.4744,0.0
5,0.4998,0.4998,0.0
6,0.5232,0.5232,0.0
7,0.5448,0.5448,0.0
8,0.5622,0.5622,0.0
9,0.5799,0.5799,0.0
10,0.5951,0.5951,0.0
11,0.6099,0.6099,0.0
12,0.6262,0.6262,0.0
13,0.6381,0.6381,0.0
14,0.65,0.65,0.0
15,0.6607,0.6607,0.0
16,0.6709,0.6709,0.0
17,0.6786,0.6786,0.0
18,0.6863,0.6863,0.0
19,0.6943,0.6943,0.0
20,0.7021,0.7021,0.0
21,0.7095,0.7095,0.0
22,0.7132,0.7132,0.0
23,0.7185,0.7185,0.0
24,0.7224,0.7224,0.0
25,0.7251,0.7251,0.0
26,0.7279,0.7279,0.0
27,0.7324,0.7324,0.0
28,0.7355,0.7355,0.0
29,0.7348,0.7348,0.0
30,0.7386,0.7386,0.0
31,0.7411,0.7411,0.0
32,0.7435,0.7435,0.0
33,0.7448,0.7448,0.0
34,0.7462,0.7462,0.0
35,0.7478,0.7478,0.0
36,0.7482,0.7482,0.0
37,0.7487,0.7487,0.0
38,0.7481,0.7481,0.0
39,0.749,0.749,0.0
40,0.7485,0.7485,0.0
41,0.7495,0.7495,0.0
42,0.7495,0.7495,0.0
43,0.7486,0.7486,0.0
44,0.7487,0.7487,0.0
45,0.747,0.747,0.0
46,0.7477,0.7477,0.0
47,0.7474,0.7474,0.0
48,0.7509,0.7509,0.0
49,0.7484,0.7484,0.0
50,0.7489,0.7489,0.0
