round,loss
1,0.8886
2,0.9421000000000002
3,0.9570000000000001
4,0.9622999999999999
5,0.9632000000000002
6,0.9634
7,0.9615
8,0.9621999999999998
9,0.9632999999999999
10,0.9615
11,0.9587
12,0.9623999999999999
13,0.9596000000000002
14,0.9591999999999998
15,0.9557
16,0.9615000000000002
17,0.9583999999999999
18,0.9498999999999999
19,0.9469000000000001
20,0.9552999999999999
21,0.9549
22,0.9563
23,0.9562999999999999
24,0.9511999999999998
25,0.9529999999999997
26,0.9505999999999999
27,0.9515999999999998
28,0.9522999999999999
29,0.9501
30,0.9516
31,0.9490999999999999
32,0.9515999999999997
33,0.9467999999999999
34,0.9450000000000001
35,0.9490000000000002
36,0.9490000000000001
37,0.9334
38,0.9484999999999999
39,0.9406000000000001
40,0.9339000000000001
41,0.9393
42,0.9267000000000001
43,0.9088999999999998
44,0.9161999999999999
45,0.9120000000000001
46,0.9063999999999999
47,0.9128999999999999
48,0.8734
49,0.8465
50,0.7899999999999999
