round,accuracy,loss,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,update_norm,client_accuracies,keep_rate
19,0.6923,0.8935043059289456,0.6923,0.8935043059289456,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.694, 0.676, 0.684, 0.702, 0.676, 0.688, 0.696, 0.692, 0.732, 0.68, 0.698, 0.674, 0.706, 0.682, 0.678, 0.704, 0.706, 0.682, 0.722, 0.674]",1.0
20,0.7014,0.8766150518320501,0.7014,0.8766150518320501,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.714, 0.722, 0.708, 0.708, 0.678, 0.714, 0.688, 0.708, 0.7, 0.692, 0.71, 0.73, 0.694, 0.706, 0.702, 0.678, 0.692, 0.682, 0.698, 0.704]",1.0
21,0.7071,0.8608013782650232,0.7071,0.8608013782650232,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.716, 0.714, 0.694, 0.686, 0.694, 0.718, 0.7, 0.686, 0.698, 0.692, 0.73, 0.75, 0.71, 0.698, 0.714, 0.704, 0.716, 0.698, 0.72, 0.704]",1.0
22,0.7121,0.8471107857301832,0.7121,0.8471107857301832,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.71, 0.722, 0.714, 0.682, 0.704, 0.706, 0.694, 0.7, 0.728, 0.688, 0.724, 0.704, 0.732, 0.708, 0.7, 0.724, 0.714, 0.716, 0.758, 0.714]",1.0
23,0.717,0.8325906561687588,0.717,0.8325906561687588,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.722, 0.742, 0.718, 0.764, 0.694, 0.694, 0.704, 0.714, 0.706, 0.728, 0.716, 0.728, 0.7, 0.698, 0.712, 0.702, 0.722, 0.732, 0.724, 0.72]",1.0
24,0.7192,0.8221193484961986,0.7192,0.8221193484961986,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.732, 0.708, 0.716, 0.722, 0.742, 0.706, 0.722, 0.714, 0.706, 0.71, 0.706, 0.698, 0.706, 0.718, 0.73, 0.716, 0.716, 0.714, 0.766, 0.736]",1.0
25,0.7241,0.810655141249299,0.7241,0.810655141249299,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.744, 0.722, 0.72, 0.726, 0.698, 0.7, 0.716, 0.722, 0.722, 0.738, 0.74, 0.732, 0.728, 0.704, 0.712, 0.718, 0.734, 0.718, 0.714, 0.774]",1.0
26,0.7259,0.8040327660739421,0.7259,0.8040327660739421,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.736, 0.746, 0.706, 0.72, 0.71, 0.72, 0.708, 0.728, 0.72, 0.724, 0.776, 0.734, 0.718, 0.728, 0.718, 0.732, 0.738, 0.714, 0.728, 0.714]",1.0
27,0.7278,0.7946409365162254,0.7278,0.7946409365162254,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.72, 0.746, 0.726, 0.776, 0.706, 0.716, 0.724, 0.73, 0.72, 0.702, 0.726, 0.742, 0.752, 0.714, 0.724, 0.72, 0.712, 0.736, 0.722, 0.742]",1.0
28,0.7318,0.7886681336909532,0.7318,0.7886681336909532,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.712, 0.716, 0.728, 0.73, 0.73, 0.732, 0.74, 0.736, 0.742, 0.732, 0.756, 0.726, 0.732, 0.73, 0.746, 0.724, 0.724, 0.726, 0.772, 0.702]",1.0
