round,accuracy,loss,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,update_norm,client_accuracies,keep_rate
1,0.3029,1.9738288391381502,0.304125,1.9707491155713797,0.298,1.9861477334052324,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.32, 0.318, 0.272, 0.324, 0.326, 0.31, 0.32, 0.262, 0.322, 0.336, 0.282, 0.322, 0.302, 0.262, 0.268, 0.296, 0.322, 0.312, 0.314, 0.268]",1.0
2,0.3788,1.7326708618551492,0.38175,1.7276789755560458,0.367,1.7526384070515633,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.388, 0.406, 0.38, 0.378, 0.406, 0.398, 0.4, 0.332, 0.38, 0.392, 0.4, 0.374, 0.384, 0.384, 0.36, 0.336, 0.348, 0.382, 0.368, 0.38]",1.0
3,0.428,1.5703938987106085,0.432125,1.5641350862570107,0.4115,1.5954291485249996,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.392, 0.434, 0.448, 0.462, 0.414, 0.464, 0.42, 0.424, 0.436, 0.408, 0.43, 0.454, 0.428, 0.418, 0.414, 0.418, 0.428, 0.422, 0.396, 0.45]",1.0
4,0.4734,1.4688003893941641,0.47825,1.4627570579759777,0.454,1.4929737150669098,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.45, 0.496, 0.47, 0.476, 0.498, 0.468, 0.48, 0.43, 0.448, 0.44, 0.512, 0.468, 0.45, 0.524, 0.48, 0.488, 0.474, 0.49, 0.446, 0.48]",1.0
5,0.5007,1.3862839996814729,0.5055,1.380474095698446,0.4815,1.4095236156135798,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.522, 0.506, 0.522, 0.554, 0.478, 0.468, 0.462, 0.512, 0.492, 0.45, 0.508, 0.53, 0.488, 0.516, 0.47, 0.486, 0.512, 0.514, 0.51, 0.514]",1.0
6,0.5255,1.3301499903202056,0.527875,1.3250810340978205,0.516,1.3504258152097464,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.534, 0.532, 0.496, 0.504, 0.542, 0.518, 0.53, 0.524, 0.532, 0.504, 0.534, 0.544, 0.528, 0.542, 0.568, 0.542, 0.51, 0.536, 0.528, 0.462]",1.0
7,0.5414,1.2806590307503938,0.54325,1.2756896470673382,0.534,1.3005365654826164,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.558, 0.56, 0.562, 0.532, 0.544, 0.548, 0.546, 0.556, 0.514, 0.542, 0.536, 0.55, 0.552, 0.52, 0.516, 0.554, 0.6, 0.49, 0.51, 0.538]",1.0
8,0.558,1.235122854821384,0.561125,1.231134758098051,0.5455,1.251075241714716,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.562, 0.612, 0.564, 0.586, 0.576, 0.49, 0.542, 0.568, 0.526, 0.578, 0.556, 0.538, 0.54, 0.532, 0.56, 0.556, 0.564, 0.568, 0.564, 0.578]",1.0
9,0.5774,1.1922134825959803,0.57875,1.188647204078734,0.572,1.2064785966649652,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.56, 0.572, 0.566, 0.578, 0.594, 0.552, 0.564, 0.586, 0.58, 0.588, 0.54, 0.582, 0.588, 0.592, 0.52, 0.59, 0.59, 0.624, 0.572, 0.61]",1.0
10,0.5945,1.1506494121626019,0.596875,1.1475642286241055,0.585,1.162990146316588,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.594, 0.546, 0.582, 0.608, 0.598, 0.6, 0.582, 0.604, 0.602, 0.604, 0.592, 0.578, 0.592, 0.636, 0.594, 0.562, 0.602, 0.598, 0.572, 0.644]",1.0
11,0.61,1.1096600094810127,0.61175,1.1060484955087304,0.603,1.1241060653701425,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.622, 0.616, 0.606, 0.622, 0.654, 0.618, 0.648, 0.606, 0.6, 0.606, 0.594, 0.624, 0.616, 0.59, 0.606, 0.566, 0.602, 0.614, 0.614, 0.576]",1.0
12,0.6255,1.0721440389752388,0.6285,1.0686363766435534,0.6135,1.0861746883019805,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.642, 0.622, 0.622, 0.628, 0.668, 0.624, 0.674, 0.63, 0.638, 0.598, 0.618, 0.584, 0.644, 0.63, 0.628, 0.628, 0.594, 0.6, 0.624, 0.614]",1.0
13,0.6352,1.0409523840993642,0.637625,1.0375598832033575,0.6255,1.0545223876833916,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.604, 0.606, 0.638, 0.644, 0.646, 0.68, 0.646, 0.602, 0.648, 0.638, 0.624, 0.624, 0.636, 0.642, 0.632, 0.64, 0.678, 0.64, 0.602, 0.634]",1.0
14,0.6499,1.0061912752687932,0.6545,1.0020585763268173,0.6315,1.0227220710366964,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.658, 0.654, 0.658, 0.614, 0.666, 0.68, 0.644, 0.658, 0.666, 0.656, 0.674, 0.644, 0.622, 0.708, 0.618, 0.648, 0.66, 0.612, 0.614, 0.644]",1.0
15,0.6595,0.9786449208855629,0.664625,0.9745060962159187,0.639,0.9952002195641398,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.664, 0.632, 0.64, 0.688, 0.666, 0.62, 0.628, 0.66, 0.716, 0.664, 0.69, 0.678, 0.666, 0.656, 0.63, 0.67, 0.65, 0.668, 0.65, 0.654]",1.0
16,0.6705,0.9520967654883862,0.674,0.9481836138293147,0.6565,0.9677493721246719,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.68, 0.668, 0.662, 0.66, 0.656, 0.69, 0.64, 0.672, 0.652, 0.668, 0.638, 0.688, 0.726, 0.68, 0.664, 0.682, 0.666, 0.636, 0.7, 0.682]",1.0
17,0.6807,0.9291390243917703,0.683125,0.9251498833764344,0.671,0.945095588453114,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.664, 0.674, 0.672, 0.654, 0.674, 0.686, 0.712, 0.682, 0.698, 0.678, 0.668, 0.668, 0.666, 0.664, 0.73, 0.686, 0.7, 0.686, 0.684, 0.668]",1.0
18,0.6887,0.9084363639354706,0.691125,0.9052200794685632,0.679,0.9213015018031001,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.674, 0.668, 0.712, 0.67, 0.69, 0.676, 0.662, 0.686, 0.698, 0.712, 0.678, 0.674, 0.664, 0.682, 0.698, 0.71, 0.736, 0.716, 0.67, 0.698]",1.0
19,0.6979,0.889085481595248,0.7,0.8858783737523481,0.6895,0.9019139129668474,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.674, 0.706, 0.714, 0.68, 0.682, 0.714, 0.742, 0.686, 0.686, 0.706, 0.684, 0.694, 0.682, 0.672, 0.72, 0.724, 0.684, 0.718, 0.68, 0.71]",1.0
20,0.6993,0.8772956499829888,0.701125,0.8746957539115101,0.692,0.8876952342689037,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.708, 0.696, 0.682, 0.67, 0.718, 0.7, 0.684, 0.688, 0.684, 0.752, 0.71, 0.71, 0.696, 0.71, 0.692, 0.68, 0.694, 0.718, 0.71, 0.684]",1.0
21,0.7072,0.8599832706153393,0.709375,0.857160048559308,0.6985,0.8712761588394642,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.716, 0.718, 0.698, 0.72, 0.716, 0.7, 0.7, 0.71, 0.684, 0.702, 0.696, 0.686, 0.764, 0.712, 0.732, 0.688, 0.694, 0.708, 0.72, 0.68]",1.0
22,0.7151,0.8433469423092902,0.716,0.8409161462914199,0.7115,0.8530701263807714,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.698, 0.72, 0.724, 0.724, 0.708, 0.722, 0.716, 0.734, 0.774, 0.714, 0.722, 0.708, 0.726, 0.726, 0.686, 0.688, 0.714, 0.704, 0.692, 0.702]",1.0
23,0.7173,0.8312225088477134,0.718625,0.828726293402724,0.712,0.8412073706276715,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.72, 0.726, 0.684, 0.724, 0.724, 0.712, 0.69, 0.714, 0.718, 0.714, 0.724, 0.688, 0.734, 0.724, 0.704, 0.722, 0.71, 0.722, 0.72, 0.772]",1.0
24,0.7218,0.8204649989493191,0.72175,0.8183252339949831,0.722,0.8290240587666631,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.732, 0.716, 0.726, 0.774, 0.71, 0.73, 0.72, 0.736, 0.694, 0.714, 0.712, 0.73, 0.716, 0.73, 0.732, 0.698, 0.718, 0.696, 0.73, 0.722]",1.0
25,0.7218,0.8082043640315533,0.723625,0.8057051750365645,0.7145,0.8182011200115085,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.714, 0.708, 0.738, 0.73, 0.704, 0.716, 0.728, 0.716, 0.714, 0.77, 0.7, 0.722, 0.72, 0.73, 0.72, 0.708, 0.738, 0.724, 0.716, 0.72]",1.0
26,0.7269,0.8008393890224397,0.726625,0.7988590992754325,0.728,0.8087605480104685,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.774, 0.72, 0.728, 0.726, 0.732, 0.712, 0.734, 0.728, 0.73, 0.726, 0.734, 0.716, 0.734, 0.708, 0.726, 0.726, 0.726, 0.7, 0.728, 0.73]",1.0
27,0.7308,0.7918208370916545,0.731125,0.7892228208947927,0.7295,0.802212901879102,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.712, 0.732, 0.776, 0.734, 0.74, 0.74, 0.724, 0.732, 0.736, 0.72, 0.734, 0.72, 0.736, 0.742, 0.706, 0.704, 0.734, 0.736, 0.722, 0.736]",1.0
28,0.7318,0.78582758968696,0.732,0.7831887553911656,0.731,0.7963829268701375,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.74, 0.72, 0.732, 0.734, 0.746, 0.71, 0.734, 0.726, 0.71, 0.742, 0.736, 0.732, 0.736, 0.722, 0.73, 0.778, 0.73, 0.718, 0.718, 0.742]",1.0
29,0.7343,0.7802734035998583,0.735375,0.7786352594848722,0.73,0.7868259800598025,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.748, 0.742, 0.732, 0.738, 0.75, 0.736, 0.736, 0.72, 0.732, 0.742, 0.732, 0.726, 0.714, 0.73, 0.73, 0.732, 0.722, 0.774, 0.704, 0.746]",1.0
30,0.7345,0.7739659613929689,0.736875,0.771916103665717,0.725,0.7821653923019767,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.714, 0.74, 0.782, 0.738, 0.724, 0.738, 0.724, 0.74, 0.732, 0.718, 0.744, 0.73, 0.732, 0.72, 0.734, 0.736, 0.72, 0.748, 0.752, 0.724]",1.0
31,0.7382,0.771168047375977,0.74025,0.7698778397170827,0.73,0.7763288780115545,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.78, 0.752, 0.734, 0.746, 0.728, 0.73, 0.728, 0.744, 0.72, 0.738, 0.742, 0.736, 0.728, 0.736, 0.748, 0.746, 0.748, 0.736, 0.72, 0.724]",1.0
