round,loss
1,0.3029
2,0.3788
3,0.428
4,0.4734
5,0.5007
6,0.5255
7,0.5414
8,0.558
9,0.5774
10,0.5945
11,0.61
12,0.6255
13,0.6352
14,0.6499
15,0.6595
16,0.6705
17,0.6807
18,0.6887
19,0.6979
20,0.6993
21,0.7072
22,0.7151
23,0.7173
24,0.7218
25,0.7218
26,0.7269
27,0.7308
28,0.7318
29,0.7343
30,0.7345
31,0.7382
32,0.7386
33,0.7383
34,0.7398
35,0.7394
36,0.7426
37,0.743
38,0.7427
39,0.7402
40,0.737
41,0.7367
42,0.7366
43,0.7392
44,0.7405
45,0.7411
46,0.7397
47,0.7417
48,0.7387
49,0.7406
50,0.7406
