round,loss
1,0.08575
2,0.120125
3,0.136
4,0.3770625
5,0.411
6,0.4563125
7,0.468
8,0.4911875
9,0.502125
10,0.5121875
11,0.5136875
12,0.5266875
13,0.5315
14,0.5375
15,0.5436875
16,0.5465625
17,0.5505
18,0.5541875
19,0.558
20,0.5608125
21,0.565125
22,0.5665
23,0.5693125
24,0.5701875
25,0.5733125
26,0.5741875
27,0.575625
28,0.5778125
29,0.5785
30,0.5804375
31,0.579875
32,0.5820625
33,0.5825
34,0.584125
35,0.585125
36,0.586625
37,0.58625
38,0.5884375
39,0.587625
40,0.59
41,0.5890625
42,0.5919375
43,0.592125
44,0.5935625
45,0.5930625
46,0.594125
47,0.5915625
48,0.595125
49,0.5910625
50,0.5933125
