round,accuracy,loss,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,client_accuracies,keep_rate
1,0.302,1.9758899904787541,0.303875,1.9727494036778808,0.2945,1.9884523376822472,"[0.278, 0.314, 0.288, 0.292, 0.332, 0.29, 0.334, 0.31, 0.258, 0.316, 0.284, 0.316, 0.312, 0.316, 0.264, 0.326, 0.312, 0.318, 0.268, 0.312]",1.0
2,0.3774,1.7350081771612167,0.38075,1.7299105585552752,0.364,1.7553986515849829,"[0.344, 0.402, 0.4, 0.374, 0.378, 0.384, 0.388, 0.382, 0.392, 0.36, 0.406, 0.374, 0.374, 0.384, 0.372, 0.4, 0.336, 0.326, 0.372, 0.4]",1.0
3,0.4265,1.5739958193153143,0.430125,1.5677586547099054,0.412,1.59894447773695,"[0.444, 0.422, 0.436, 0.434, 0.442, 0.376, 0.458, 0.428, 0.386, 0.458, 0.422, 0.4, 0.418, 0.412, 0.416, 0.452, 0.422, 0.434, 0.456, 0.414]",1.0
4,0.4761,1.4655583798885345,0.481125,1.459364265203476,0.456,1.490334838628769,"[0.484, 0.484, 0.476, 0.46, 0.458, 0.452, 0.492, 0.49, 0.52, 0.484, 0.456, 0.488, 0.486, 0.504, 0.436, 0.448, 0.494, 0.45, 0.472, 0.488]",1.0
5,0.5014,1.3899035964161157,0.506125,1.3842203072272241,0.4825,1.4126367531716824,"[0.512, 0.522, 0.512, 0.504, 0.5, 0.48, 0.448, 0.492, 0.468, 0.488, 0.482, 0.518, 0.514, 0.508, 0.512, 0.524, 0.528, 0.56, 0.462, 0.494]",1.0
6,0.5245,1.3311512233689426,0.527625,1.3259224037174135,0.512,1.3520665019750595,"[0.502, 0.508, 0.522, 0.54, 0.536, 0.542, 0.538, 0.518, 0.53, 0.538, 0.538, 0.534, 0.58, 0.522, 0.526, 0.49, 0.55, 0.484, 0.532, 0.46]",1.0
7,0.5455,1.2814695922657848,0.5475,1.2767622978426516,0.5375,1.3002987699583173,"[0.528, 0.526, 0.54, 0.558, 0.518, 0.516, 0.548, 0.57, 0.55, 0.552, 0.524, 0.558, 0.548, 0.546, 0.604, 0.552, 0.556, 0.486, 0.57, 0.56]",1.0
8,0.562,1.2358224065974355,0.564375,1.2317818528972566,0.5525,1.251984621398151,"[0.578, 0.576, 0.564, 0.588, 0.506, 0.572, 0.55, 0.59, 0.566, 0.53, 0.526, 0.556, 0.58, 0.528, 0.568, 0.548, 0.566, 0.572, 0.624, 0.552]",1.0
9,0.5788,1.1927404232323169,0.5805,1.189114510314539,0.572,1.2072440749034286,"[0.578, 0.602, 0.522, 0.576, 0.576, 0.594, 0.584, 0.614, 0.626, 0.55, 0.582, 0.566, 0.556, 0.58, 0.582, 0.556, 0.574, 0.572, 0.592, 0.594]",1.0
10,0.5946,1.1512314464896918,0.59725,1.1479654668364674,0.584,1.1642953651025891,"[0.576, 0.59, 0.614, 0.588, 0.59, 0.632, 0.6, 0.592, 0.596, 0.554, 0.614, 0.604, 0.602, 0.638, 0.6, 0.584, 0.604, 0.548, 0.574, 0.592]",1.0
