round,accuracy,loss,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,update_norm,client_accuracies,keep_rate
13,0.106,4.3589036680758,0.12575,4.180502955801785,0.027,5.07250651717186,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.07, 0.0, 0.21, 0.0, 0.032, 0.0, 0.066, 0.18, 0.092, 0.14, 0.076, 0.164, 0.142, 0.0, 0.076, 0.286, 0.088, 0.028, 0.164, 0.306]",1.0
14,0.1109,4.331209749728441,0.132,4.141563811339438,0.0265,5.089793503284454,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.032, 0.074, 0.164, 0.16, 0.0, 0.082, 0.088, 0.0, 0.066, 0.198, 0.214, 0.076, 0.0, 0.034, 0.082, 0.162, 0.0, 0.166, 0.32, 0.3]",1.0
15,0.1172,4.303220394253731,0.138375,4.101980254985392,0.0325,5.1081809513270855,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.102, 0.212, 0.178, 0.16, 0.0, 0.104, 0.092, 0.082, 0.0, 0.0, 0.306, 0.0, 0.028, 0.204, 0.048, 0.332, 0.172, 0.17, 0.072, 0.082]",1.0
16,0.1213,4.279337817430497,0.144,4.065572467632592,0.0305,5.134399216622114,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.33, 0.056, 0.18, 0.09, 0.216, 0.102, 0.068, 0.026, 0.0, 0.0, 0.096, 0.23, 0.182, 0.098, 0.172, 0.312, 0.0, 0.086, 0.0, 0.182]",1.0
17,0.1282,4.2552947424352165,0.1515,4.0305083859711885,0.035,5.15444016829133,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.114, 0.188, 0.336, 0.03, 0.312, 0.112, 0.19, 0.23, 0.0, 0.11, 0.19, 0.0, 0.0, 0.2, 0.076, 0.224, 0.098, 0.08, 0.0, 0.074]",1.0
18,0.1327,4.232346641272306,0.156625,3.998425501398742,0.037,5.168031200766563,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.032, 0.08, 0.25, 0.0, 0.116, 0.346, 0.098, 0.236, 0.072, 0.318, 0.19, 0.0, 0.084, 0.212, 0.194, 0.116, 0.192, 0.0, 0.118]",1.0
19,0.1392,4.211851801723242,0.165125,3.9667882788926363,0.0355,5.192105893045664,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.084, 0.118, 0.228, 0.036, 0.084, 0.338, 0.21, 0.0, 0.094, 0.19, 0.228, 0.258, 0.132, 0.096, 0.0, 0.0, 0.208, 0.0, 0.106, 0.374]",1.0
20,0.1444,4.1923450633883474,0.171625,3.9385032700374722,0.0355,5.207712236791849,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.102, 0.04, 0.0, 0.284, 0.088, 0.09, 0.25, 0.0, 0.104, 0.0, 0.14, 0.126, 0.368, 0.356, 0.088, 0.216, 0.194, 0.224, 0.218]",1.0
21,0.1502,4.172455145418644,0.178375,3.9096227837726474,0.0375,5.22378459200263,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.364, 0.164, 0.23, 0.29, 0.0, 0.13, 0.28, 0.104, 0.09, 0.086, 0.224, 0.226, 0.0, 0.364, 0.202, 0.108, 0.096, 0.0, 0.046]",1.0
22,0.1555,4.155128224939108,0.184125,3.884308227337897,0.041,5.238408215343952,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.086, 0.0, 0.166, 0.216, 0.104, 0.362, 0.108, 0.364, 0.304, 0.214, 0.06, 0.0, 0.122, 0.25, 0.302, 0.0, 0.23, 0.13, 0.092, 0.0]",1.0
23,0.1606,4.138864427059889,0.189875,3.860217472538352,0.0435,5.253452245146036,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.38, 0.0, 0.222, 0.236, 0.132, 0.0, 0.178, 0.06, 0.258, 0.092, 0.104, 0.364, 0.314, 0.114, 0.306, 0.21, 0.0, 0.134, 0.0, 0.108]",1.0
24,0.1653,4.123017143458128,0.1955,3.837400706484914,0.0445,5.265482891350985,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.324, 0.11, 0.0, 0.0, 0.238, 0.388, 0.362, 0.0, 0.14, 0.068, 0.108, 0.118, 0.188, 0.1, 0.258, 0.238, 0.14, 0.314, 0.212, 0.0]",1.0
25,0.17,4.107840482890606,0.201625,3.8139456445351243,0.0435,5.283419836312532,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.314, 0.11, 0.0, 0.242, 0.37, 0.264, 0.15, 0.13, 0.068, 0.238, 0.15, 0.0, 0.334, 0.388, 0.222, 0.116, 0.106, 0.0, 0.198, 0.0]",1.0
26,0.1737,4.092124715447426,0.2065,3.792264210060239,0.0425,5.291566736996174,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.23, 0.0, 0.322, 0.336, 0.15, 0.21, 0.0, 0.246, 0.0, 0.388, 0.264, 0.116, 0.0, 0.238, 0.38, 0.104, 0.066, 0.152, 0.12, 0.152]",1.0
27,0.1789,4.077424686402082,0.21275,3.770591669715941,0.0435,5.304756753146648,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.16, 0.0, 0.27, 0.328, 0.35, 0.386, 0.252, 0.152, 0.154, 0.11, 0.0, 0.0, 0.126, 0.396, 0.246, 0.122, 0.22, 0.0, 0.242, 0.064]",1.0
28,0.1832,4.063358184695244,0.218625,3.749526897445321,0.0415,5.318683333694935,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.23, 0.36, 0.164, 0.102, 0.0, 0.248, 0.168, 0.144, 0.166, 0.0, 0.398, 0.24, 0.278, 0.064, 0.134, 0.248, 0.324, 0.0, 0.396]",1.0
29,0.1872,4.049801348149776,0.224,3.7295129410922527,0.04,5.330954976379871,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.252, 0.246, 0.172, 0.28, 0.328, 0.0, 0.0, 0.09, 0.144, 0.404, 0.242, 0.374, 0.07, 0.0, 0.406, 0.15, 0.0, 0.174, 0.248, 0.164]",1.0
30,0.1888,4.0376327686011795,0.226125,3.710632272064686,0.0395,5.345634754747152,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.326, 0.242, 0.146, 0.386, 0.176, 0.248, 0.0, 0.28, 0.17, 0.254, 0.068, 0.178, 0.402, 0.0, 0.162, 0.0, 0.246, 0.402, 0.0, 0.09]",1.0
31,0.1928,4.02691717222333,0.23125,3.6924880230799317,0.039,5.364633768796921,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.412, 0.18, 0.0, 0.082, 0.178, 0.184, 0.162, 0.0, 0.41, 0.328, 0.286, 0.152, 0.25, 0.0, 0.246, 0.074, 0.248, 0.262, 0.0, 0.402]",1.0
32,0.1956,4.013063931465149,0.235375,3.674433338455856,0.0365,5.367586303502321,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.184, 0.0, 0.29, 0.0, 0.182, 0.324, 0.258, 0.41, 0.244, 0.0, 0.074, 0.418, 0.156, 0.0, 0.252, 0.182, 0.192, 0.412, 0.262, 0.072]",1.0
33,0.198,4.002656368911266,0.238875,3.6573234694078565,0.0345,5.383987966924906,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.414, 0.264, 0.292, 0.26, 0.414, 0.158, 0.0, 0.256, 0.196, 0.326, 0.0, 0.184, 0.416, 0.074, 0.204, 0.192, 0.246, 0.064, 0.0]",1.0
34,0.2,3.9911599822342394,0.24125,3.6402041101828218,0.035,5.394983470439911,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.416, 0.264, 0.0, 0.254, 0.198, 0.244, 0.412, 0.0, 0.414, 0.264, 0.3, 0.16, 0.196, 0.066, 0.074, 0.334, 0.214, 0.19, 0.0]",1.0
35,0.2032,3.981088503450155,0.244875,3.6255908077582717,0.0365,5.4030792862176895,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.262, 0.248, 0.418, 0.186, 0.064, 0.17, 0.082, 0.0, 0.0, 0.42, 0.308, 0.224, 0.198, 0.2, 0.412, 0.0, 0.34, 0.27, 0.262]",1.0
36,0.2071,3.9695516243577003,0.2495,3.6082914946600795,0.0375,5.414592143148184,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.414, 0.252, 0.422, 0.188, 0.318, 0.204, 0.0, 0.082, 0.27, 0.068, 0.0, 0.28, 0.0, 0.27, 0.228, 0.42, 0.178, 0.342, 0.0, 0.206]",1.0
37,0.2088,3.959053489565849,0.251875,3.5920418240129948,0.0365,5.4271001517772675,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.182, 0.21, 0.34, 0.0, 0.064, 0.234, 0.328, 0.274, 0.26, 0.412, 0.082, 0.422, 0.264, 0.194, 0.0, 0.0, 0.428, 0.28, 0.202]",1.0
38,0.2104,3.9504630267620087,0.25425,3.5762258311733603,0.035,5.447411809116602,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.324, 0.0, 0.338, 0.192, 0.42, 0.222, 0.06, 0.188, 0.274, 0.428, 0.198, 0.0, 0.286, 0.262, 0.0, 0.27, 0.238, 0.428, 0.08, 0.0]",1.0
39,0.2058,3.9125409960746764,0.248625,3.570646720007062,0.0345,5.280118100345135,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.356, 0.324, 0.074, 0.242, 0.27, 0.0, 0.404, 0.224, 0.0, 0.252, 0.092, 0.2, 0.44, 0.0, 0.29, 0.19, 0.064, 0.282, 0.412]",1.0
