round,accuracy,loss,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,update_norm,client_accuracies,keep_rate
31,0.9913,0.026193024099228523,0.9905,0.027709125208712493,0.9945,0.020128619661292646,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.998, 1.0, 0.988, 0.992, 0.986, 0.996, 0.992, 1.0, 0.996, 0.998, 0.988, 0.994, 0.986, 0.986, 1.0, 1.0, 0.988, 0.98, 0.982, 0.976]",1.0
32,0.9912,0.02612514150735521,0.990375,0.027612657183810008,0.9945,0.020175078801536017,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.98, 1.0, 0.986, 0.998, 0.992, 0.986, 0.996, 1.0, 0.998, 0.996, 0.988, 1.0, 0.982, 0.986, 0.988, 0.994, 1.0, 0.976, 0.992, 0.986]",1.0
33,0.9914,0.0258311196210947,0.990625,0.027311554660612636,0.9945,0.019909379463022958,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.998, 0.99, 1.0, 1.0, 0.994, 1.0, 0.988, 0.988, 0.98, 0.998, 0.986, 0.992, 0.976, 0.996, 0.994, 0.988, 1.0, 0.992, 0.986, 0.982]",1.0
34,0.9914,0.025804647490091526,0.990625,0.027227543304669588,0.9945,0.020113064231779276,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.98, 0.994, 0.988, 0.986, 1.0, 0.982, 0.994, 0.976, 0.986, 0.988, 0.988, 0.994, 1.0, 0.992, 0.988, 0.998, 0.998, 1.0, 1.0, 0.996]",1.0
35,0.9915,0.025736201115532254,0.990875,0.027209727569701414,0.994,0.01984209529885561,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.996, 0.986, 0.982, 0.998, 0.994, 0.98, 0.994, 0.978, 0.99, 1.0, 0.988, 0.998, 0.988, 0.994, 1.0, 0.99, 1.0, 0.986, 1.0, 0.988]",1.0
36,0.9917,0.025765565940583456,0.991,0.02718115019725431,0.9945,0.02010322891390004,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.98, 0.992, 1.0, 1.0, 0.978, 1.0, 0.988, 0.994, 0.996, 0.994, 0.998, 0.986, 1.0, 0.994, 0.998, 0.99, 0.982, 0.988, 0.988, 0.988]",1.0
37,0.9916,0.02571196274809253,0.990875,0.027110238208551962,0.9945,0.02011886090625481,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.998, 0.994, 0.992, 1.0, 0.98, 0.988, 0.984, 0.99, 0.988, 0.994, 0.988, 0.988, 0.998, 0.992, 0.996, 1.0, 1.0, 0.986, 1.0, 0.976]",1.0
38,0.9919,0.02536400230745812,0.991125,0.0267392919131062,0.995,0.01986284388486581,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.996, 0.988, 0.988, 0.978, 1.0, 0.988, 0.994, 1.0, 0.988, 0.988, 1.0, 0.98, 0.99, 0.994, 1.0, 0.994, 0.994, 0.982, 0.998, 0.998]",1.0
39,0.9922,0.02546810369757644,0.9915,0.026834391578857808,0.995,0.02000295217245096,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.99, 0.988, 1.0, 0.982, 0.998, 0.994, 0.994, 0.994, 0.99, 0.994, 0.998, 0.998, 0.988, 0.98, 0.98, 1.0, 1.0, 0.988, 0.988]",1.0
40,0.9921,0.025518219366524875,0.9915,0.026877174841925644,0.9945,0.020082397464921797,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.994, 0.984, 0.994, 0.986, 0.994, 0.99, 0.98, 0.99, 0.992, 0.998, 0.988, 0.998, 1.0, 0.988, 0.98, 1.0, 1.0, 0.988, 0.998]",1.0
41,0.9923,0.025364004361900783,0.99175,0.026691379867049392,0.9945,0.020054502341306346,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.988, 0.988, 1.0, 0.992, 1.0, 0.998, 0.988, 0.998, 0.98, 1.0, 0.994, 0.994, 0.98, 0.99, 0.996, 0.984, 1.0, 0.99, 0.998, 0.988]",1.0
42,0.9922,0.02542324617948104,0.991625,0.026744131119589287,0.9945,0.020139706419048053,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.986, 0.992, 1.0, 1.0, 0.99, 0.998, 0.992, 0.996, 0.992, 0.98, 1.0, 0.988, 0.998, 0.998, 0.984, 0.99, 0.988, 0.994, 0.978, 1.0]",1.0
43,0.992,0.025400872749476378,0.991375,0.02672463553014026,0.9945,0.02010582162682084,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.998, 1.0, 1.0, 1.0, 0.998, 0.988, 0.99, 0.99, 0.986, 0.994, 0.984, 0.978, 0.998, 0.98, 0.992, 1.0, 0.988, 0.996, 0.992, 0.988]",1.0
44,0.9923,0.025536411683075144,0.99175,0.026842546497157116,0.9945,0.020311872426747257,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.998, 0.99, 1.0, 0.994, 0.998, 0.996, 0.98, 1.0, 1.0, 0.992, 0.992, 0.988, 0.99, 0.988, 0.998, 0.98, 0.992, 0.984, 0.986]",1.0
45,0.9924,0.025535878604011585,0.991875,0.02683503372787177,0.9945,0.020339258108570846,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.988, 0.98, 0.99, 0.996, 0.99, 1.0, 0.998, 0.992, 0.998, 1.0, 0.998, 0.984, 1.0, 0.99, 0.992, 0.992, 1.0, 0.994, 0.988, 0.978]",1.0
46,0.9923,0.02544021326769883,0.99175,0.026760985295022573,0.9945,0.020157125158403844,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.996, 1.0, 0.99, 0.978, 0.998, 0.99, 0.992, 0.998, 0.99, 0.99, 0.998, 0.988, 0.994, 0.99, 1.0, 1.0, 0.99, 0.984, 1.0, 0.98]",1.0
47,0.9923,0.025195506428839387,0.991625,0.026504898508880496,0.995,0.019957938108674966,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.992, 0.978, 0.99, 0.998, 0.98, 0.994, 0.982, 0.99, 0.99, 0.988, 0.998, 0.992, 0.99, 1.0, 0.99, 1.0, 1.0, 0.996, 0.998, 1.0]",1.0
48,0.9922,0.025068606395043956,0.9915,0.026420442343408013,0.995,0.019661262601587737,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.978, 0.99, 0.978, 1.0, 0.994, 1.0, 0.988, 0.99, 0.99, 0.998, 0.992, 0.994, 0.988, 0.982, 0.99, 1.0, 0.996, 0.998, 1.0, 0.998]",1.0
49,0.9921,0.025127391168331667,0.9915,0.026344656121612516,0.9945,0.02025833135520827,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.978, 0.996, 0.996, 0.992, 0.998, 0.99, 0.99, 0.986, 0.994, 1.0, 0.998, 1.0, 0.988, 0.99, 0.976, 0.998, 1.0, 0.982, 1.0, 0.99]",1.0
50,0.992,0.02538709585376022,0.991375,0.026697019067918545,0.9945,0.020147402997126918,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 0.994, 0.978, 0.99, 0.99, 0.998, 0.99, 0.982, 0.99, 0.998, 0.976, 1.0, 1.0, 0.998, 0.988, 0.988, 0.996, 0.996, 0.988]",1.0
