round,loss
1,0.068
2,0.115875
3,0.16725
4,0.2506875
5,0.4804375
6,0.5134375
7,0.5545625
8,0.5758125
9,0.5975
10,0.611875
11,0.625375
12,0.636375
13,0.64175
14,0.6508125
15,0.6579375
16,0.665375
17,0.669625
18,0.675375
19,0.6829375
20,0.6856875
21,0.6905
22,0.6931875
23,0.697625
24,0.7000625
25,0.7035625
26,0.7059375
27,0.709375
28,0.7121875
29,0.71425
30,0.7165625
31,0.7190625
32,0.72175
33,0.723375
34,0.725375
35,0.72675
36,0.727875
37,0.72975
38,0.7294375
39,0.7321875
40,0.7338125
41,0.73475
42,0.7343125
43,0.735
44,0.7371875
45,0.7361875
46,0.736875
47,0.7371875
48,0.73825
49,0.7395625
50,0.7404375
