round,loss
1,0.068
2,0.1154375
3,0.183
4,0.2461875
5,0.482
6,0.5118125
7,0.557625
8,0.578375
9,0.602125
10,0.61275
11,0.626125
12,0.6349375
13,0.643625
14,0.651625
15,0.6591875
16,0.665875
17,0.67025
18,0.6760625
19,0.680875
20,0.685875
21,0.6895
22,0.6948125
23,0.6975
24,0.7006875
25,0.703625
26,0.706375
27,0.7088125
28,0.7118125
29,0.714125
30,0.716875
31,0.7203125
32,0.7210625
33,0.724
34,0.7251875
35,0.7274375
36,0.727
37,0.729
38,0.730375
39,0.7320625
40,0.733625
41,0.734125
42,0.7359375
43,0.7359375
44,0.7366875
45,0.737
46,0.7365
47,0.739125
48,0.739625
49,0.740125
50,0.74225
