round,loss
1,0.068
2,0.116125
3,0.1761875
4,0.260375
5,0.486375
6,0.51075
7,0.557875
8,0.576625
9,0.6000625
10,0.613875
11,0.5421875
12,0.479375
13,0.3758125
14,0.292625
15,0.2425
16,0.2061875
17,0.1798125
18,0.1748125
19,0.141875
20,0.145875
21,0.1136875
22,0.1124375
23,0.0991875
24,0.0931875
25,0.0945
26,0.0769375
27,0.080875
28,0.0631875
29,0.07925
30,0.0439375
31,0.0439375
32,0.05325
33,0.0535
34,0.0469375
35,0.0501875
36,0.039625
37,0.0573125
38,0.025
39,0.025
40,0.025
41,0.025
42,0.025
43,0.025
44,0.025
45,0.025
46,0.025
47,0.025
48,0.025
49,0.025
50,0.025
