round,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,accuracy,loss,client_accuracies,client_update_norms,keep_rate
1,0.916,0.30637361280387265,0.0,0.0,0.916,0.30637361280387265,"[0.882, 0.898, 0.964, 0.984, 0.916, 0.908, 0.878, 0.862, 0.95, 0.958, 0.912, 0.902, 0.89, 0.89, 0.946, 0.866, 0.952, 0.888, 0.92, 0.954]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
2,0.9555,0.14425343631955911,0.0,0.0,0.9555,0.14425343631955911,"[0.936, 0.932, 0.982, 0.94, 0.982, 0.986, 0.922, 0.926, 0.958, 0.978, 0.916, 0.954, 0.952, 0.998, 0.938, 0.954, 0.976, 0.964, 0.932, 0.984]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
3,0.9659000000000001,0.10409607011024491,0.0,0.0,0.9659000000000001,0.10409607011024491,"[0.97, 0.986, 0.99, 0.996, 0.986, 0.942, 0.942, 0.954, 0.978, 0.95, 0.964, 0.954, 0.938, 0.972, 0.99, 0.97, 0.946, 0.938, 0.96, 0.992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
4,0.9723999999999998,0.08312707910627068,0.0,0.0,0.9723999999999998,0.08312707910627068,"[0.948, 0.962, 0.988, 0.962, 0.96, 0.978, 0.994, 0.99, 0.958, 0.974, 0.976, 0.954, 0.978, 0.994, 0.942, 0.978, 0.948, 0.996, 0.986, 0.982]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
5,0.9769,0.0707387329384801,0.0,0.0,0.9769,0.0707387329384801,"[0.962, 0.97, 0.986, 0.966, 0.996, 0.96, 0.99, 0.982, 0.948, 0.984, 0.972, 0.994, 0.956, 0.992, 0.98, 0.982, 0.984, 0.998, 0.956, 0.98]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
6,0.9795999999999999,0.06214109194552293,0.0,0.0,0.9795999999999999,0.06214109194552293,"[0.992, 0.982, 0.996, 0.96, 0.984, 0.978, 0.982, 0.97, 0.966, 0.964, 0.988, 0.992, 0.95, 0.986, 0.968, 0.986, 0.998, 0.986, 0.97, 0.994]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
7,0.9817999999999998,0.0556740721348433,0.0,0.0,0.9817999999999998,0.0556740721348433,"[0.992, 0.994, 0.992, 0.97, 0.998, 0.964, 0.97, 0.976, 0.988, 0.972, 0.99, 0.982, 0.978, 0.974, 0.99, 0.986, 0.996, 0.984, 0.982, 0.958]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
8,0.9831999999999999,0.05078177690506891,0.0,0.0,0.9831999999999999,0.05078177690506891,"[0.96, 0.994, 0.992, 0.972, 0.99, 0.974, 0.982, 0.982, 0.994, 0.982, 0.994, 0.972, 0.976, 0.964, 0.98, 0.982, 0.99, 0.99, 0.998, 0.996]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
9,0.9849000000000002,0.04703545685383688,0.0,0.0,0.9849000000000002,0.04703545685383688,"[0.998, 0.996, 0.976, 0.972, 0.978, 0.994, 0.968, 0.994, 0.992, 0.982, 0.992, 0.992, 0.984, 0.962, 0.996, 0.978, 0.98, 0.984, 1.0, 0.98]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
10,0.9850000000000001,0.04393098444959378,0.0,0.0,0.9850000000000001,0.04393098444959378,"[0.994, 0.966, 0.98, 0.988, 0.98, 0.998, 0.966, 0.994, 0.98, 0.994, 0.996, 0.982, 0.992, 0.984, 0.976, 0.998, 1.0, 0.982, 0.972, 0.978]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
