round,accuracy,client_accuracies,loss,client_update_norms,keep_rate
15,0.6619,"[0.66, 0.678, 0.662, 0.654, 0.686, 0.672, 0.638, 0.666, 0.688, 0.624, 0.67, 0.634, 0.674, 0.664, 0.634, 0.64, 0.662, 0.662, 0.722, 0.648]",0.9798632368445397,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
16,0.6701,"[0.728, 0.674, 0.66, 0.674, 0.678, 0.672, 0.648, 0.632, 0.67, 0.668, 0.678, 0.692, 0.674, 0.638, 0.664, 0.66, 0.658, 0.686, 0.7, 0.648]",0.9528893150389195,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
17,0.6795,"[0.676, 0.672, 0.706, 0.682, 0.73, 0.662, 0.67, 0.684, 0.676, 0.696, 0.644, 0.698, 0.672, 0.658, 0.674, 0.688, 0.66, 0.686, 0.666, 0.69]",0.9292304195463658,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
18,0.6862,"[0.684, 0.686, 0.662, 0.706, 0.738, 0.678, 0.672, 0.656, 0.662, 0.68, 0.668, 0.712, 0.698, 0.696, 0.692, 0.688, 0.682, 0.678, 0.692, 0.694]",0.9077864803373814,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
19,0.6938,"[0.73, 0.71, 0.694, 0.69, 0.684, 0.718, 0.662, 0.678, 0.696, 0.68, 0.696, 0.694, 0.696, 0.686, 0.712, 0.686, 0.68, 0.696, 0.708, 0.68]",0.8879620641469955,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
20,0.7022,"[0.716, 0.688, 0.738, 0.722, 0.706, 0.704, 0.69, 0.714, 0.692, 0.702, 0.702, 0.708, 0.712, 0.692, 0.688, 0.688, 0.706, 0.704, 0.702, 0.67]",0.8701347562484443,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
21,0.7088,"[0.696, 0.72, 0.7, 0.718, 0.698, 0.714, 0.692, 0.712, 0.71, 0.734, 0.714, 0.712, 0.712, 0.714, 0.698, 0.704, 0.72, 0.692, 0.668, 0.748]",0.8539175137877464,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
22,0.7142,"[0.728, 0.71, 0.704, 0.73, 0.704, 0.708, 0.688, 0.716, 0.716, 0.718, 0.726, 0.7, 0.702, 0.698, 0.694, 0.728, 0.716, 0.756, 0.716, 0.726]",0.8411957745440304,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
23,0.7178,"[0.76, 0.722, 0.706, 0.698, 0.732, 0.722, 0.718, 0.736, 0.71, 0.696, 0.716, 0.714, 0.726, 0.704, 0.708, 0.7, 0.72, 0.73, 0.706, 0.732]",0.827257782407105,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
24,0.7213,"[0.716, 0.698, 0.708, 0.72, 0.728, 0.698, 0.704, 0.732, 0.764, 0.718, 0.708, 0.732, 0.722, 0.74, 0.734, 0.706, 0.726, 0.728, 0.712, 0.732]",0.8158773860894144,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
