round,accuracy,loss,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,client_accuracies,keep_rate
1,0.0096,4.605558867752552,0.0096,4.605558867752552,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.124, 0.0, 0.0, 0.0, 0.0, 0.018]",1.0
2,0.0117,4.607052408158779,0.0117,4.607052408158779,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.034, 0.0, 0.0]",1.0
3,0.019,4.58376307785511,0.019,4.58376307785511,0.0,0.0,"[0.12, 0.0, 0.008, 0.0, 0.0, 0.0, 0.0, 0.166, 0.0, 0.0, 0.084, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
4,0.0339,4.537110920250416,0.0339,4.537110920250416,0.0,0.0,"[0.0, 0.0, 0.014, 0.0, 0.0, 0.0, 0.13, 0.176, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.038, 0.124, 0.0, 0.028, 0.118]",1.0
5,0.0378,4.4813140541315075,0.0378,4.4813140541315075,0.0,0.0,"[0.058, 0.07, 0.0, 0.0, 0.0, 0.0, 0.088, 0.0, 0.166, 0.01, 0.0, 0.0, 0.022, 0.022, 0.178, 0.048, 0.0, 0.0, 0.008, 0.086]",1.0
6,0.0429,4.433467131853104,0.0429,4.433467131853104,0.0,0.0,"[0.16, 0.026, 0.02, 0.012, 0.002, 0.0, 0.008, 0.106, 0.102, 0.0, 0.01, 0.006, 0.0, 0.078, 0.098, 0.0, 0.0, 0.178, 0.016, 0.036]",1.0
7,0.0568,4.390040105581283,0.0568,4.390040105581283,0.0,0.0,"[0.014, 0.016, 0.108, 0.008, 0.032, 0.006, 0.02, 0.014, 0.098, 0.04, 0.004, 0.122, 0.158, 0.17, 0.0, 0.01, 0.096, 0.018, 0.052, 0.15]",1.0
8,0.0601,4.34436294734478,0.0601,4.34436294734478,0.0,0.0,"[0.014, 0.182, 0.08, 0.03, 0.024, 0.004, 0.072, 0.022, 0.118, 0.006, 0.04, 0.0, 0.036, 0.172, 0.01, 0.172, 0.04, 0.062, 0.018, 0.1]",1.0
9,0.0668,4.297598959505558,0.0668,4.297598959505558,0.0,0.0,"[0.08, 0.028, 0.002, 0.074, 0.004, 0.106, 0.102, 0.014, 0.076, 0.182, 0.044, 0.048, 0.028, 0.02, 0.204, 0.042, 0.044, 0.036, 0.018, 0.184]",1.0
10,0.0766,4.253532444685698,0.0766,4.253532444685698,0.0,0.0,"[0.192, 0.2, 0.028, 0.074, 0.068, 0.054, 0.046, 0.062, 0.02, 0.208, 0.04, 0.106, 0.088, 0.008, 0.05, 0.07, 0.056, 0.008, 0.04, 0.114]",1.0
11,0.0868,4.213048177212476,0.0868,4.213048177212476,0.0,0.0,"[0.006, 0.03, 0.106, 0.186, 0.222, 0.074, 0.088, 0.09, 0.01, 0.072, 0.052, 0.06, 0.074, 0.206, 0.078, 0.068, 0.15, 0.026, 0.046, 0.092]",1.0
12,0.0942,4.173698128014803,0.0942,4.173698128014803,0.0,0.0,"[0.08, 0.23, 0.226, 0.086, 0.102, 0.072, 0.072, 0.076, 0.042, 0.174, 0.068, 0.058, 0.012, 0.008, 0.128, 0.076, 0.024, 0.086, 0.1, 0.164]",1.0
13,0.1042,4.132719868421555,0.1042,4.132719868421555,0.0,0.0,"[0.164, 0.06, 0.186, 0.072, 0.106, 0.074, 0.262, 0.158, 0.232, 0.02, 0.028, 0.09, 0.13, 0.062, 0.094, 0.074, 0.086, 0.012, 0.078, 0.096]",1.0
14,0.1094,4.092340491712093,0.1094,4.092340491712093,0.0,0.0,"[0.132, 0.014, 0.074, 0.23, 0.088, 0.074, 0.102, 0.152, 0.19, 0.294, 0.104, 0.08, 0.148, 0.026, 0.078, 0.078, 0.03, 0.106, 0.058, 0.13]",1.0
15,0.1162,4.0514926694333555,0.1162,4.0514926694333555,0.0,0.0,"[0.076, 0.09, 0.136, 0.116, 0.114, 0.082, 0.042, 0.066, 0.054, 0.304, 0.154, 0.088, 0.114, 0.112, 0.144, 0.028, 0.19, 0.246, 0.154, 0.014]",1.0
16,0.1241,4.012260522693396,0.1241,4.012260522693396,0.0,0.0,"[0.208, 0.262, 0.122, 0.308, 0.16, 0.106, 0.018, 0.138, 0.16, 0.036, 0.06, 0.05, 0.116, 0.138, 0.076, 0.094, 0.084, 0.15, 0.056, 0.14]",1.0
17,0.1313,3.97394098341465,0.1313,3.97394098341465,0.0,0.0,"[0.27, 0.094, 0.166, 0.156, 0.028, 0.156, 0.118, 0.056, 0.17, 0.128, 0.056, 0.094, 0.316, 0.144, 0.222, 0.058, 0.146, 0.084, 0.038, 0.126]",1.0
18,0.1371,3.9398592449724674,0.1371,3.9398592449724674,0.0,0.0,"[0.076, 0.058, 0.03, 0.148, 0.228, 0.09, 0.152, 0.162, 0.132, 0.17, 0.054, 0.19, 0.144, 0.042, 0.178, 0.122, 0.092, 0.27, 0.096, 0.308]",1.0
19,0.143,3.9040480121970176,0.143,3.9040480121970176,0.0,0.0,"[0.138, 0.144, 0.1, 0.036, 0.164, 0.17, 0.106, 0.196, 0.23, 0.13, 0.148, 0.204, 0.054, 0.18, 0.056, 0.266, 0.048, 0.302, 0.1, 0.088]",1.0
20,0.1477,3.868673034757376,0.1477,3.868673034757376,0.0,0.0,"[0.044, 0.184, 0.212, 0.176, 0.154, 0.104, 0.054, 0.27, 0.134, 0.306, 0.202, 0.226, 0.038, 0.192, 0.054, 0.154, 0.146, 0.098, 0.102, 0.104]",1.0
21,0.1526,3.8370932318270206,0.1526,3.8370932318270206,0.0,0.0,"[0.202, 0.184, 0.154, 0.108, 0.238, 0.106, 0.15, 0.058, 0.05, 0.108, 0.212, 0.152, 0.306, 0.04, 0.198, 0.28, 0.06, 0.216, 0.134, 0.096]",1.0
22,0.1565,3.806186577677727,0.1565,3.806186577677727,0.0,0.0,"[0.286, 0.204, 0.224, 0.142, 0.188, 0.206, 0.152, 0.114, 0.098, 0.232, 0.052, 0.058, 0.306, 0.046, 0.07, 0.122, 0.154, 0.196, 0.112, 0.168]",1.0
23,0.1622,3.776506442576647,0.1622,3.776506442576647,0.0,0.0,"[0.29, 0.244, 0.084, 0.064, 0.058, 0.214, 0.156, 0.222, 0.318, 0.048, 0.156, 0.17, 0.2, 0.208, 0.13, 0.092, 0.116, 0.154, 0.118, 0.202]",1.0
24,0.1678,3.74669159501791,0.1678,3.74669159501791,0.0,0.0,"[0.116, 0.062, 0.296, 0.312, 0.2, 0.09, 0.214, 0.264, 0.232, 0.138, 0.174, 0.126, 0.158, 0.068, 0.088, 0.154, 0.24, 0.156, 0.208, 0.06]",1.0
25,0.1736,3.7182291477918623,0.1736,3.7182291477918623,0.0,0.0,"[0.098, 0.218, 0.162, 0.21, 0.138, 0.208, 0.148, 0.068, 0.274, 0.154, 0.248, 0.316, 0.07, 0.114, 0.084, 0.296, 0.252, 0.068, 0.184, 0.162]",1.0
26,0.1768,3.6891507849097254,0.1768,3.6891507849097254,0.0,0.0,"[0.218, 0.28, 0.07, 0.114, 0.182, 0.16, 0.262, 0.142, 0.3, 0.254, 0.08, 0.07, 0.152, 0.104, 0.152, 0.216, 0.316, 0.068, 0.176, 0.22]",1.0
27,0.1811,3.6629019290208817,0.1811,3.6629019290208817,0.0,0.0,"[0.226, 0.26, 0.114, 0.16, 0.086, 0.076, 0.29, 0.082, 0.146, 0.216, 0.154, 0.184, 0.186, 0.22, 0.112, 0.274, 0.154, 0.324, 0.072, 0.286]",1.0
28,0.1869,3.6363188959658146,0.1869,3.6363188959658146,0.0,0.0,"[0.118, 0.22, 0.188, 0.274, 0.164, 0.306, 0.152, 0.082, 0.2, 0.086, 0.336, 0.156, 0.126, 0.076, 0.294, 0.162, 0.094, 0.218, 0.22, 0.266]",1.0
29,0.1911,3.611013636738062,0.1911,3.611013636738062,0.0,0.0,"[0.26, 0.346, 0.084, 0.202, 0.31, 0.296, 0.164, 0.286, 0.168, 0.162, 0.234, 0.224, 0.188, 0.1, 0.128, 0.22, 0.08, 0.088, 0.162, 0.12]",1.0
