round,accuracy,clean_accuracy,malicious_accuracy
1,0.8886,0.885875,0.8995
2,0.9422,0.939125,0.9545
3,0.9571,0.954125,0.969
4,0.9619,0.95925,0.9725
5,0.9639,0.961375,0.974
6,0.9636,0.960375,0.9765
7,0.9624,0.959125,0.9755
8,0.9613,0.95825,0.9735
9,0.962,0.959,0.974
10,0.9618,0.959125,0.9725
11,0.9628,0.959625,0.9755
12,0.9628,0.960875,0.9705
13,0.9639,0.96125,0.9745
14,0.9645,0.962375,0.973
15,0.9594,0.956875,0.9695
16,0.9598,0.958,0.967
17,0.9609,0.95875,0.9695
18,0.961,0.95825,0.972
19,0.9543,0.952,0.9635
20,0.9537,0.952125,0.96
