round,accuracy,clean_accuracy,malicious_accuracy
1,0.916,0.913,0.928
2,0.9554,0.952125,0.9685
3,0.9658,0.962875,0.9775
4,0.9725,0.969625,0.984
5,0.9769,0.974,0.9885
6,0.9799,0.97725,0.9905
7,0.9816,0.979125,0.9915
8,0.9829,0.981,0.9905
9,0.9847,0.98275,0.9925
10,0.9853,0.98325,0.9935
11,0.9855,0.9835,0.9935
12,0.9862,0.984375,0.9935
13,0.987,0.985375,0.9935
14,0.9873,0.98575,0.9935
15,0.9873,0.98575,0.9935
16,0.9878,0.98625,0.994
17,0.9885,0.987125,0.994
18,0.9887,0.98725,0.9945
19,0.9894,0.988125,0.9945
20,0.9897,0.9885,0.9945
