round,clean_accuracy,loss,malicious_accuracy,malicious_loss,accuracy,global_loss,client_accuracies,client_update_norms,keep_rate
13,0.9868,0.03753659503918243,0.0,0.0,0.9868,0.03753659503918243,"[0.968, 0.998, 0.998, 0.996, 0.974, 0.994, 0.984, 0.98, 1.0, 0.996, 0.988, 0.982, 0.984, 0.986, 0.992, 0.984, 0.98, 0.982, 0.998, 0.972]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
14,0.9872,0.035930830212157615,0.0,0.0,0.9872,0.035930830212157615,"[0.982, 0.982, 0.998, 0.982, 0.998, 0.998, 0.972, 0.996, 0.98, 0.992, 0.988, 1.0, 0.996, 0.968, 0.984, 0.986, 0.986, 0.984, 0.974, 0.998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
15,0.9873,0.034689038851445274,0.0,0.0,0.9873,0.034689038851445274,"[0.998, 0.996, 0.972, 0.974, 0.996, 0.984, 1.0, 0.984, 0.982, 0.998, 0.986, 0.992, 0.984, 0.982, 0.97, 0.998, 0.986, 0.984, 0.982, 0.998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
16,0.9876999999999999,0.03327578122911064,0.0,0.0,0.9876999999999999,0.03327578122911064,"[0.998, 0.974, 0.998, 1.0, 0.984, 0.998, 0.996, 0.974, 0.988, 0.988, 0.982, 0.986, 0.996, 0.984, 0.984, 0.982, 0.992, 0.998, 0.982, 0.97]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
17,0.9881,0.032265781085914116,0.0,0.0,0.9881,0.032265781085914116,"[0.998, 0.986, 0.974, 0.998, 0.988, 0.986, 0.988, 1.0, 0.984, 0.998, 0.974, 0.97, 0.982, 0.996, 0.984, 0.982, 0.996, 0.998, 0.992, 0.988]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
18,0.9884999999999998,0.03135468881044971,0.0,0.0,0.9884999999999998,0.03135468881044971,"[0.992, 1.0, 0.984, 0.996, 0.998, 0.99, 0.984, 0.988, 0.97, 0.972, 0.998, 0.974, 0.988, 0.988, 0.996, 0.998, 1.0, 0.988, 0.984, 0.982]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
19,0.9888999999999999,0.030510711898091358,0.0,0.0,0.9888999999999999,0.030510711898091358,"[0.998, 0.988, 0.996, 1.0, 1.0, 0.998, 0.996, 0.988, 0.984, 0.986, 0.976, 0.986, 0.972, 0.972, 0.984, 1.0, 0.99, 0.984, 0.99, 0.99]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
20,0.9894000000000002,0.02979584150585879,0.0,0.0,0.9894000000000002,0.02979584150585879,"[0.996, 0.978, 0.998, 0.99, 0.988, 0.984, 0.996, 1.0, 1.0, 0.988, 0.99, 0.972, 0.986, 0.992, 0.988, 0.974, 0.984, 0.986, 0.998, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
21,0.9901,0.02917341718737134,0.0,0.0,0.9901,0.02917341718737134,"[0.994, 0.986, 1.0, 0.988, 0.996, 0.974, 0.998, 0.986, 0.982, 0.986, 0.976, 1.0, 0.988, 0.984, 0.988, 0.994, 0.99, 0.998, 1.0, 0.994]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
22,0.9901,0.02853291222307348,0.0,0.0,0.9901,0.02853291222307348,"[0.986, 0.98, 0.988, 0.974, 0.988, 0.998, 0.988, 0.996, 0.998, 0.994, 0.996, 0.99, 0.984, 1.0, 0.994, 0.986, 0.986, 1.0, 1.0, 0.976]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
23,0.9901,0.02797532136288794,0.0,0.0,0.9901,0.02797532136288794,"[1.0, 0.998, 0.994, 0.986, 0.986, 1.0, 0.992, 0.986, 0.976, 0.996, 0.986, 0.994, 0.988, 0.988, 0.986, 0.998, 0.994, 1.0, 0.974, 0.98]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
24,0.9903000000000001,0.027511313279509862,0.0,0.0,0.9903000000000001,0.027511313279509862,"[0.984, 0.986, 1.0, 0.976, 0.986, 0.986, 0.992, 0.988, 0.998, 1.0, 0.998, 0.996, 0.976, 0.994, 1.0, 0.996, 0.996, 0.988, 0.986, 0.98]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
25,0.9904,0.027101504023539745,0.0,0.0,0.9904,0.027101504023539745,"[0.998, 1.0, 0.988, 0.98, 0.986, 0.996, 0.996, 0.976, 0.986, 0.998, 0.988, 1.0, 0.992, 0.976, 0.996, 1.0, 0.986, 0.984, 0.988, 0.994]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
26,0.9905999999999999,0.026736117670768066,0.0,0.0,0.9905999999999999,0.026736117670768066,"[0.98, 0.998, 0.978, 0.996, 0.992, 0.998, 0.996, 0.988, 0.986, 0.986, 0.988, 0.988, 1.0, 1.0, 0.984, 0.996, 0.986, 0.976, 0.996, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
27,0.9907999999999999,0.026300708245778993,0.0,0.0,0.9907999999999999,0.026300708245778993,"[0.996, 0.978, 0.988, 0.996, 0.988, 0.976, 1.0, 0.998, 0.984, 0.988, 0.988, 0.994, 0.98, 0.988, 1.0, 0.986, 0.994, 0.996, 1.0, 0.998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
28,0.9911999999999999,0.025982082839519194,0.0,0.0,0.9911999999999999,0.025982082839519194,"[0.996, 0.996, 0.988, 0.988, 0.998, 0.982, 1.0, 0.994, 0.998, 0.976, 1.0, 0.978, 0.996, 0.984, 0.986, 0.988, 0.992, 1.0, 0.988, 0.996]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
29,0.9912999999999998,0.0258008022916286,0.0,0.0,0.9912999999999998,0.0258008022916286,"[0.998, 0.978, 0.996, 0.988, 0.986, 0.978, 0.984, 1.0, 0.982, 1.0, 0.996, 0.986, 0.998, 0.988, 0.992, 0.996, 0.996, 0.994, 1.0, 0.99]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
30,0.9916000000000003,0.025488718847178404,0.0,0.0,0.9916000000000003,0.025488718847178404,"[0.998, 0.986, 0.988, 0.984, 1.0, 0.996, 0.988, 1.0, 0.99, 0.992, 0.984, 0.988, 0.998, 0.996, 0.996, 0.994, 1.0, 0.998, 0.978, 0.978]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
31,0.9917999999999999,0.025270187738119888,0.0,0.0,0.9917999999999999,0.025270187738119888,"[0.978, 0.994, 1.0, 1.0, 0.996, 0.984, 1.0, 0.986, 0.988, 0.996, 1.0, 0.988, 0.988, 0.98, 0.994, 0.998, 0.996, 0.998, 0.982, 0.99]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
32,0.9919999999999998,0.025183720097736284,0.0,0.0,0.9919999999999998,0.025183720097736284,"[0.998, 0.99, 1.0, 0.982, 0.994, 0.996, 0.988, 0.98, 0.986, 1.0, 1.0, 0.998, 0.984, 0.996, 0.99, 0.978, 1.0, 0.996, 0.99, 0.994]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
33,0.9921000000000001,0.025004317888163995,0.0,0.0,0.9921000000000001,0.025004317888163995,"[0.996, 0.996, 1.0, 0.978, 1.0, 0.988, 0.98, 0.994, 0.994, 1.0, 0.996, 0.984, 0.984, 0.99, 0.99, 0.988, 0.988, 0.998, 0.998, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
