round,loss
1,0.068
2,0.116125
3,0.1678125
4,0.2428125
5,0.482875
6,0.509375
7,0.555625
8,0.5769375
9,0.5989375
10,0.61325
11,0.618
12,0.621125
13,0.6213125
14,0.61675
15,0.610125
16,0.597125
17,0.5836875
18,0.5649375
19,0.5421875
20,0.5160625
21,0.4870625
22,0.4550625
23,0.430625
24,0.40175
25,0.378125
26,0.3513125
27,0.3356875
28,0.304875
29,0.2829375
30,0.263375
31,0.23575
32,0.236625
33,0.2094375
34,0.2210625
35,0.203875
36,0.206375
37,0.1919375
38,0.1421875
39,0.1816875
40,0.142
41,0.139875
42,0.12625
43,0.1519375
44,0.12425
45,0.107875
46,0.1191875
47,0.116625
48,0.0975625
49,0.1211875
50,0.061375
