round,loss
1,0.068
2,0.1165625
3,0.17075
4,0.2739375
5,0.4856875
6,0.5195
7,0.5560625
8,0.577625
9,0.6000625
10,0.615
11,0.62625
12,0.6345
13,0.6428125
14,0.64875
15,0.655625
16,0.662875
17,0.6679375
18,0.6715
19,0.67775
20,0.681875
21,0.686875
22,0.6889375
23,0.692375
24,0.6954375
25,0.698125
26,0.700375
27,0.7035625
28,0.7061875
29,0.7095
30,0.7131875
31,0.7143125
32,0.714625
33,0.7175
34,0.7173125
35,0.721125
36,0.72125
37,0.721875
38,0.722375
39,0.7233125
40,0.7256875
41,0.726875
42,0.72775
43,0.726875
44,0.7281875
45,0.7283125
46,0.727875
47,0.7294375
48,0.7305
49,0.7313125
50,0.73075
