round,accuracy,loss,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,client_accuracies,keep_rate
39,0.7233125,0.8456202256083488,0.750703125,0.7858148190379143,0.61375,1.084841851890087,"[0.84625, 0.80375, 0.18625, 0.885, 0.79125, 0.8275, 0.85625, 0.5975, 0.75375, 0.80875, 0.73125, 0.615, 0.6525, 0.66125, 0.7275, 0.845, 0.725, 0.59875, 0.7375, 0.81625]",1.0
40,0.7256875,0.8413535881340504,0.753671875,0.7796172350272537,0.61375,1.0882990005612374,"[0.60625, 0.6575, 0.83, 0.73625, 0.66, 0.6175, 0.185, 0.72375, 0.75875, 0.8125, 0.73375, 0.6025, 0.89125, 0.8625, 0.84875, 0.8425, 0.8125, 0.73125, 0.79625, 0.805]",1.0
41,0.726875,0.836266205817461,0.754921875,0.7736306864395738,0.6146875,1.08680828332901,"[0.8125, 0.7425, 0.73375, 0.86375, 0.80875, 0.81625, 0.83, 0.73125, 0.84625, 0.18125, 0.60375, 0.7525, 0.79375, 0.66375, 0.6175, 0.89125, 0.84625, 0.66375, 0.6075, 0.73125]",1.0
42,0.72775,0.831160827934742,0.756015625,0.7676799283921718,0.6146875,1.0850844261050225,"[0.84875, 0.62375, 0.84875, 0.89375, 0.73375, 0.65, 0.795, 0.65625, 0.75375, 0.61875, 0.73375, 0.8325, 0.80875, 0.62375, 0.1825, 0.7325, 0.86, 0.8125, 0.73125, 0.815]",1.0
43,0.726875,0.8295191853046417,0.755703125,0.7633673247694969,0.6115625,1.094126627445221,"[0.7375, 0.835, 0.61875, 0.645, 0.79375, 0.71875, 0.61875, 0.80625, 0.84875, 0.8975, 0.74, 0.86875, 0.6075, 0.75625, 0.81625, 0.81125, 0.73, 0.17875, 0.6575, 0.85125]",1.0
44,0.7281875,0.826419078618288,0.757734375,0.7587914182618261,0.61,1.0969297200441361,"[0.87125, 0.79625, 0.73375, 0.76125, 0.65875, 0.635, 0.80625, 0.74125, 0.725, 0.61875, 0.62, 0.6475, 0.7125, 0.18, 0.80875, 0.81375, 0.8525, 0.8975, 0.835, 0.84875]",1.0
45,0.7283125,0.8239901985526085,0.75796875,0.7537305463850498,0.6096875,1.1050288072228431,"[0.875, 0.8525, 0.74625, 0.6075, 0.6225, 0.7975, 0.66, 0.71125, 0.89625, 0.62125, 0.74125, 0.81375, 0.81375, 0.7025, 0.7625, 0.65875, 0.8075, 0.85375, 0.84, 0.1825]",1.0
46,0.727875,0.8208309493362903,0.7578125,0.7496707339212298,0.608125,1.1054718109965325,"[0.81125, 0.85125, 0.835, 0.76375, 0.795, 0.87375, 0.73375, 0.6225, 0.71375, 0.7075, 0.64375, 0.73875, 0.175, 0.605, 0.66, 0.8125, 0.65375, 0.895, 0.85125, 0.815]",1.0
47,0.7294375,0.8153650361299515,0.75921875,0.7426379238069057,0.6103125,1.1062734854221343,"[0.86625, 0.7375, 0.7175, 0.66, 0.76375, 0.8525, 0.895, 0.6525, 0.74625, 0.82, 0.79625, 0.715, 0.81875, 0.6225, 0.63625, 0.17375, 0.61, 0.8125, 0.855, 0.8375]",1.0
48,0.7305,0.8121081091463566,0.760625,0.7392191418632865,0.61,1.1036639782786368,"[0.17375, 0.9, 0.74125, 0.715, 0.605, 0.81875, 0.79875, 0.65625, 0.85625, 0.7175, 0.87125, 0.815, 0.73625, 0.83875, 0.82, 0.64875, 0.85125, 0.62375, 0.765, 0.6575]",1.0
49,0.7313125,0.8075153985917568,0.7621875,0.7320358549430966,0.6078125,1.1094335731863976,"[0.8525, 0.70625, 0.81, 0.76375, 0.7175, 0.66125, 0.6425, 0.8275, 0.17375, 0.63125, 0.74125, 0.875, 0.855, 0.62375, 0.75375, 0.80625, 0.8425, 0.81875, 0.9, 0.62375]",1.0
50,0.73075,0.805000111579895,0.76171875,0.7273112157732249,0.606875,1.1157556948065759,"[0.595, 0.64875, 0.7425, 0.90125, 0.7375, 0.16875, 0.65625, 0.8225, 0.8075, 0.66125, 0.7625, 0.84375, 0.85625, 0.825, 0.71375, 0.81625, 0.85125, 0.625, 0.705, 0.875]",1.0
