round,loss
1,0.068
2,0.1159375
3,0.1605
4,0.2425625
5,0.479375
6,0.5050625
7,0.5541875
8,0.578625
9,0.5993125
10,0.6151875
11,0.6233125
12,0.6310625
13,0.639
14,0.6418125
15,0.6435625
16,0.6465625
17,0.642875
18,0.643
19,0.645625
20,0.648625
21,0.64
22,0.6406875
23,0.635875
24,0.63325
25,0.632375
26,0.628375
27,0.6250625
28,0.622
29,0.6175
30,0.6074375
31,0.6049375
32,0.6014375
33,0.5960625
34,0.5898125
35,0.587875
36,0.5853125
37,0.576375
38,0.576
39,0.5729375
40,0.562375
41,0.555625
42,0.55425
43,0.55725
44,0.54025
45,0.548375
46,0.543625
47,0.5498125
48,0.546625
49,0.53975
50,0.5374375
