round,loss
1,0.068
2,0.116125
3,0.1594375
4,0.2335625
5,0.47025
6,0.50875
7,0.5558125
8,0.5771875
9,0.599375
10,0.612625
11,0.6251875
12,0.6369375
13,0.6449375
14,0.6513125
15,0.660875
16,0.6661875
17,0.672875
18,0.67675
19,0.6830625
20,0.687125
21,0.691875
22,0.6955625
23,0.699125
24,0.7018125
25,0.702375
26,0.7079375
27,0.7093125
28,0.712375
29,0.715375
30,0.7175625
31,0.718875
32,0.721
33,0.7219375
34,0.725125
35,0.725875
36,0.727625
37,0.7299375
38,0.731625
39,0.73275
40,0.734375
41,0.734625
42,0.73475
43,0.7366875
44,0.73725
45,0.7370625
46,0.737125
47,0.73825
48,0.73925
49,0.740125
50,0.7425625
