round,accuracy,client_accuracies,loss,client_update_norms,keep_rate
15,0.9872,"[0.984, 0.998, 0.986, 0.996, 0.996, 0.974, 0.972, 0.998, 0.984, 0.982, 0.998, 0.984, 0.982, 1.0, 0.992, 0.982, 0.986, 0.968, 0.984, 0.998]",0.03472894034432557,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
16,0.9881,"[0.998, 0.988, 0.996, 0.988, 0.982, 0.982, 0.986, 0.992, 0.998, 0.984, 0.988, 0.996, 0.97, 0.998, 0.986, 1.0, 0.974, 0.998, 0.984, 0.974]",0.03329768173903176,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
17,0.9885,"[0.998, 0.974, 0.984, 0.99, 0.988, 0.998, 0.996, 0.988, 0.998, 0.992, 0.998, 0.982, 0.984, 1.0, 0.996, 0.986, 0.988, 0.976, 0.97, 0.984]",0.032133366073833255,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
18,0.9888,"[0.996, 1.0, 0.996, 0.998, 0.97, 0.974, 0.988, 1.0, 1.0, 0.984, 0.986, 0.988, 0.992, 0.988, 0.984, 0.99, 0.978, 0.984, 0.998, 0.982]",0.031228350465437416,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
19,0.9892,"[0.974, 0.98, 0.998, 1.0, 0.996, 0.986, 0.996, 0.99, 0.99, 0.988, 0.986, 0.99, 0.982, 0.988, 0.97, 0.984, 1.0, 0.988, 0.998, 1.0]",0.030507683647607566,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
20,0.9898,"[0.99, 0.988, 0.992, 0.988, 0.984, 1.0, 0.996, 0.984, 0.974, 0.98, 0.996, 1.0, 0.996, 0.998, 0.974, 0.984, 0.998, 0.988, 0.986, 1.0]",0.029787060721815806,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
21,0.9901,"[0.98, 0.998, 0.996, 0.984, 1.0, 0.974, 0.998, 1.0, 0.986, 0.988, 1.0, 0.988, 0.99, 0.986, 0.996, 0.992, 0.986, 0.988, 0.996, 0.976]",0.0290868354391705,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
22,0.9902,"[0.988, 0.996, 0.996, 1.0, 0.976, 0.974, 0.986, 0.986, 0.992, 1.0, 0.984, 0.98, 0.994, 1.0, 0.998, 0.986, 0.998, 0.986, 0.996, 0.988]",0.02853863904326772,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
23,0.9904,"[0.996, 0.986, 0.988, 0.986, 0.996, 0.986, 0.992, 0.988, 0.994, 0.996, 1.0, 0.98, 0.976, 0.998, 1.0, 0.974, 0.986, 0.998, 0.988, 1.0]",0.02799272900246592,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
24,0.9906,"[0.976, 0.988, 0.992, 0.978, 0.98, 0.988, 1.0, 0.998, 0.986, 0.994, 0.988, 0.986, 1.0, 0.986, 0.996, 0.986, 0.996, 0.996, 1.0, 0.998]",0.027565070092916245,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
