round,loss
1,0.9169090909090909
2,0.9555
3,0.9657
4,0.9726
5,0.9771
6,0.9798
7,0.9818
8,0.9832
9,0.9847
10,0.9852
11,0.9856
12,0.9861
13,0.9868
14,0.9872
15,0.9873
16,0.9879
17,0.9885
18,0.9888
19,0.9891
20,0.9896
21,0.9902
22,0.99
23,0.9902
24,0.9904
25,0.9901
26,0.9908
27,0.9908
28,0.9911
29,0.9912
30,0.9915
31,0.9915
32,0.9919
33,0.9921
34,0.9923
35,0.9923
36,0.9925
37,0.9925
38,0.9923
39,0.9926
40,0.9925
41,0.9926
42,0.9926
43,0.9929
44,0.9929
45,0.9928
46,0.993
47,0.9929
48,0.9929
49,0.9927
50,0.9928
