round,accuracy,client_accuracies,loss,client_update_norms,keep_rate
15,0.9873,"[0.974, 0.992, 0.986, 0.982, 0.984, 0.998, 0.972, 0.984, 0.996, 0.998, 0.998, 0.984, 0.97, 0.998, 0.986, 1.0, 0.982, 0.996, 0.984, 0.982]",0.0346158485123965,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
16,0.9879,"[0.984, 0.998, 0.988, 0.996, 0.984, 0.982, 0.97, 1.0, 0.974, 0.984, 0.986, 0.992, 0.998, 0.998, 0.988, 0.984, 0.982, 0.976, 0.998, 0.996]",0.03329137481447333,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
17,0.9885,"[0.984, 0.996, 0.998, 0.988, 0.99, 1.0, 0.984, 0.986, 0.972, 0.996, 0.988, 0.998, 0.982, 0.992, 0.988, 0.998, 0.984, 0.976, 0.97, 1.0]",0.032142926026983785,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
18,0.9888,"[0.988, 0.99, 0.992, 0.984, 0.988, 0.982, 0.988, 0.978, 0.996, 1.0, 0.982, 1.0, 0.974, 1.0, 0.998, 0.996, 0.97, 0.998, 0.984, 0.988]",0.031314557544487795,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
19,0.9891,"[0.972, 0.974, 0.996, 0.982, 0.99, 0.988, 0.998, 0.986, 0.996, 0.978, 1.0, 0.99, 1.0, 0.984, 1.0, 0.984, 0.998, 0.99, 0.988, 0.988]",0.03057492413859677,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
20,0.9896,"[0.988, 1.0, 0.99, 0.988, 0.984, 0.998, 0.972, 0.986, 0.986, 1.0, 0.996, 0.998, 0.974, 0.978, 0.988, 0.984, 0.996, 0.994, 1.0, 0.992]",0.029869193189705358,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
21,0.9902,"[0.986, 0.98, 0.996, 1.0, 0.984, 0.996, 0.976, 0.986, 0.986, 0.994, 0.988, 0.998, 0.998, 0.974, 0.992, 0.988, 0.994, 1.0, 1.0, 0.988]",0.029179927238084248,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
22,0.99,"[0.986, 0.984, 1.0, 0.976, 0.996, 0.998, 0.986, 0.998, 0.98, 0.974, 0.996, 1.0, 0.994, 0.986, 0.994, 0.986, 0.988, 1.0, 0.99, 0.988]",0.02861243634275752,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
23,0.9902,"[0.99, 0.994, 0.998, 1.0, 0.996, 0.986, 0.986, 0.988, 0.976, 0.994, 0.988, 0.976, 0.988, 0.98, 1.0, 0.998, 0.986, 0.994, 1.0, 0.986]",0.028023697184818275,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
24,0.9904,"[0.986, 0.986, 0.988, 0.976, 0.998, 0.992, 0.986, 0.994, 0.998, 0.988, 0.988, 0.976, 1.0, 0.994, 1.0, 0.996, 0.98, 1.0, 0.986, 0.996]",0.027496404685061294,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
25,0.9901,"[0.976, 0.986, 0.976, 0.99, 0.994, 0.996, 0.988, 0.998, 0.988, 0.986, 0.984, 1.0, 0.98, 0.988, 0.998, 0.996, 1.0, 0.994, 0.984, 1.0]",0.02707203446965991,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
26,0.9908,"[0.984, 1.0, 0.986, 0.986, 0.996, 0.99, 0.994, 0.988, 0.998, 0.994, 1.0, 0.978, 0.978, 0.988, 0.998, 0.986, 0.996, 0.982, 1.0, 0.994]",0.026669088954480457,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
27,0.9908,"[1.0, 1.0, 0.99, 0.994, 0.978, 0.996, 0.984, 0.986, 0.994, 1.0, 0.984, 0.996, 0.982, 0.988, 0.988, 0.998, 0.978, 0.998, 0.996, 0.986]",0.0263684643238264,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
28,0.9911,"[1.0, 0.996, 1.0, 0.978, 0.996, 0.998, 0.978, 0.982, 0.996, 0.988, 0.996, 0.994, 0.988, 0.998, 0.986, 0.988, 1.0, 0.984, 0.992, 0.984]",0.026147004485432036,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
29,0.9912,"[0.988, 0.996, 0.992, 0.978, 0.982, 0.994, 0.998, 1.0, 0.998, 0.978, 0.988, 1.0, 0.988, 0.996, 0.984, 0.988, 0.996, 0.984, 0.996, 1.0]",0.025884007180280832,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
30,0.9915,"[0.996, 1.0, 0.978, 0.998, 0.988, 1.0, 0.996, 0.996, 0.986, 0.988, 0.984, 0.994, 1.0, 0.978, 1.0, 0.988, 0.992, 0.982, 0.996, 0.99]",0.02565768252845544,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
31,0.9915,"[0.994, 0.988, 0.99, 0.996, 0.998, 0.998, 1.0, 0.984, 0.992, 0.984, 0.988, 0.982, 0.994, 1.0, 1.0, 1.0, 0.988, 0.996, 0.98, 0.978]",0.025435288388258925,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
32,0.9919,"[1.0, 0.996, 0.994, 0.996, 0.984, 0.982, 1.0, 0.998, 0.98, 1.0, 0.99, 0.978, 0.99, 0.996, 0.988, 0.988, 1.0, 0.986, 0.998, 0.994]",0.025157386056486077,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
33,0.9921,"[0.992, 0.978, 0.988, 0.99, 0.988, 0.986, 1.0, 0.996, 0.996, 1.0, 0.998, 0.996, 0.98, 0.994, 0.982, 1.0, 1.0, 0.994, 0.986, 0.998]",0.02491004072964671,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
34,0.9923,"[1.0, 0.992, 0.99, 0.994, 0.998, 0.988, 1.0, 0.988, 0.978, 0.996, 0.998, 0.986, 0.98, 0.984, 0.996, 0.998, 0.994, 1.0, 1.0, 0.986]",0.024763803828313512,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
35,0.9923,"[0.99, 0.998, 0.998, 0.994, 0.992, 0.986, 1.0, 0.996, 0.986, 0.988, 1.0, 0.998, 0.996, 0.994, 0.988, 0.98, 1.0, 0.982, 0.98, 1.0]",0.024484526303039898,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
36,0.9925,"[0.988, 1.0, 1.0, 0.988, 0.994, 1.0, 0.98, 0.998, 1.0, 0.984, 0.98, 0.99, 0.998, 0.998, 0.996, 0.99, 0.994, 0.988, 0.996, 0.988]",0.024410642626129686,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
37,0.9925,"[0.994, 0.998, 1.0, 0.99, 0.99, 0.996, 0.98, 0.98, 1.0, 0.988, 0.994, 0.998, 1.0, 1.0, 0.998, 0.984, 0.988, 0.988, 0.996, 0.988]",0.024376247414078022,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
38,0.9923,"[0.998, 1.0, 0.988, 0.99, 0.99, 0.994, 0.98, 0.982, 1.0, 0.988, 1.0, 1.0, 0.996, 0.994, 0.996, 0.998, 0.988, 0.998, 0.98, 0.986]",0.024175147036784493,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
39,0.9926,"[0.988, 0.988, 0.99, 1.0, 0.998, 0.998, 1.0, 0.994, 1.0, 0.998, 0.988, 0.984, 1.0, 0.98, 0.994, 0.98, 0.996, 0.996, 0.99, 0.99]",0.02403614094807551,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
40,0.9925,"[0.998, 0.994, 1.0, 0.98, 0.988, 0.98, 0.994, 0.99, 1.0, 0.998, 0.99, 1.0, 0.996, 1.0, 0.986, 0.998, 0.988, 0.99, 0.982, 0.998]",0.02398523325166977,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
41,0.9926,"[0.988, 1.0, 0.988, 1.0, 0.992, 0.994, 0.99, 0.998, 0.998, 1.0, 0.98, 0.982, 0.988, 0.998, 0.988, 0.996, 0.98, 0.996, 1.0, 0.996]",0.02383246666733143,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
42,0.9926,"[0.998, 0.996, 0.988, 0.998, 0.988, 0.996, 0.99, 0.996, 0.988, 0.996, 0.99, 1.0, 0.98, 0.994, 1.0, 0.992, 0.982, 1.0, 0.98, 1.0]",0.023803647170904794,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
43,0.9929,"[0.99, 1.0, 1.0, 0.982, 0.994, 1.0, 0.996, 0.99, 0.998, 0.996, 1.0, 0.99, 0.992, 0.998, 1.0, 0.996, 0.98, 0.988, 0.988, 0.98]",0.023787970568781347,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
44,0.9929,"[1.0, 0.998, 0.988, 0.988, 1.0, 1.0, 0.998, 0.996, 0.98, 0.996, 0.994, 0.99, 0.984, 0.99, 0.992, 1.0, 1.0, 0.994, 0.99, 0.98]",0.02373657575206032,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
45,0.9928,"[0.988, 0.996, 0.99, 0.992, 0.994, 0.988, 0.982, 1.0, 0.99, 0.998, 0.998, 1.0, 1.0, 0.99, 0.996, 1.0, 0.994, 0.98, 0.98, 1.0]",0.023703515760997718,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
46,0.993,"[1.0, 0.996, 1.0, 0.99, 0.998, 0.998, 0.99, 0.99, 0.996, 0.996, 0.992, 1.0, 0.988, 0.994, 1.0, 0.98, 0.984, 0.98, 0.988, 1.0]",0.023562980239406173,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
47,0.9929,"[1.0, 0.998, 0.988, 0.996, 0.992, 0.99, 0.984, 0.996, 0.988, 0.994, 0.998, 1.0, 0.98, 1.0, 0.98, 1.0, 0.99, 0.99, 0.994, 1.0]",0.023747241606128712,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
48,0.9929,"[0.998, 0.984, 0.994, 0.996, 1.0, 1.0, 0.988, 0.98, 0.996, 1.0, 0.988, 0.99, 0.98, 1.0, 0.992, 0.998, 1.0, 0.994, 0.99, 0.99]",0.023469325608752097,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
49,0.9927,"[0.988, 0.988, 0.99, 0.996, 0.988, 1.0, 0.98, 1.0, 0.994, 1.0, 0.992, 0.998, 0.994, 0.998, 0.99, 1.0, 0.996, 1.0, 0.978, 0.984]",0.023506893262926633,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
50,0.9928,"[0.988, 1.0, 1.0, 0.996, 0.996, 0.99, 1.0, 0.99, 0.998, 0.994, 0.988, 1.0, 0.992, 0.984, 0.994, 0.988, 0.98, 0.998, 1.0, 0.98]",0.023447911247221852,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
