round,accuracy,client_accuracies,loss,client_update_norms,keep_rate
15,0.9873,"[0.984, 1.0, 0.984, 0.974, 0.998, 0.992, 0.986, 0.996, 0.982, 0.97, 0.998, 0.982, 0.998, 0.972, 0.996, 0.986, 0.982, 0.984, 0.998, 0.984]",0.034587577229183354,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
16,0.9881,"[0.998, 0.998, 0.998, 0.996, 0.982, 0.988, 1.0, 0.998, 0.99, 0.986, 0.984, 0.982, 0.984, 0.97, 0.986, 0.986, 0.974, 0.996, 0.974, 0.992]",0.033296319220153234,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
17,0.9886,"[0.988, 0.984, 0.99, 0.988, 0.996, 0.99, 1.0, 0.984, 0.974, 1.0, 0.97, 0.982, 0.998, 0.974, 0.998, 0.998, 0.986, 0.984, 0.992, 0.996]",0.032105697801864605,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
18,0.9887,"[0.976, 0.988, 0.97, 1.0, 0.984, 0.996, 1.0, 0.988, 0.998, 0.99, 0.998, 0.988, 0.992, 0.982, 0.988, 0.996, 0.984, 0.972, 0.984, 1.0]",0.03125621853923803,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
19,0.9892,"[0.998, 1.0, 0.992, 0.978, 0.974, 0.984, 0.988, 0.986, 0.996, 0.988, 1.0, 0.996, 0.99, 1.0, 0.988, 0.982, 0.99, 0.972, 0.984, 0.998]",0.03044273350652702,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
20,0.9895,"[1.0, 0.988, 1.0, 0.992, 0.978, 0.996, 0.998, 0.992, 0.988, 0.986, 1.0, 0.99, 0.988, 0.998, 0.984, 0.972, 0.984, 0.974, 0.996, 0.986]",0.029711930187494316,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
21,0.9902,"[0.98, 0.988, 0.988, 0.994, 0.986, 1.0, 0.994, 0.996, 0.988, 1.0, 0.998, 0.99, 0.986, 0.978, 0.984, 0.996, 0.998, 1.0, 0.974, 0.986]",0.0291076791394687,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
22,0.9905,"[0.986, 0.996, 0.976, 0.988, 0.994, 0.986, 0.996, 0.98, 1.0, 0.998, 0.986, 1.0, 0.998, 1.0, 0.996, 0.988, 0.986, 0.992, 0.988, 0.976]",0.028518843301844753,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
23,0.9903,"[0.978, 0.998, 1.0, 0.986, 0.994, 0.988, 0.994, 0.992, 0.988, 0.986, 0.994, 1.0, 0.998, 0.986, 1.0, 0.986, 0.986, 0.98, 0.996, 0.976]",0.027939877168688555,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
24,0.9904,"[0.996, 0.986, 0.986, 0.996, 0.988, 0.998, 1.0, 0.98, 0.994, 0.994, 0.998, 0.992, 0.988, 0.986, 0.988, 1.0, 0.986, 1.0, 0.976, 0.976]",0.027562398439567915,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
